@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric

@data
2979,'2019/07/08 17:20:48:391',9,452.074127,382.988281,43.929131,525.631531,373.630371,60.435665,610.710266,378.937195,62.159916,686.482422,389.51001,57.479324,722.027039,405.434021,49.214069,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2980,'2019/07/08 17:20:48:475',9,451.740234,382.851105,43.882401,524.843994,373.703674,60.364021,610.051331,379.062286,62.090401,686.051758,389.416779,57.412277,721.426392,405.207092,49.17065,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2981,'2019/07/08 17:20:48:575',9,451.617737,382.609344,43.845978,524.17041,373.646057,60.281593,609.361938,378.88031,62.00061,685.106018,389.281403,57.3326,719.258301,405.892731,49.107285,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2982,'2019/07/08 17:20:48:640',9,451.395081,382.41629,43.82312,524.017822,373.564362,60.254837,609.003845,378.835785,61.967098,684.713562,389.069092,57.30093,719.301636,405.514587,49.046108,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2983,'2019/07/08 17:20:48:727',9,451.227539,382.269409,43.798286,523.777649,373.346527,60.235096,608.769165,378.558044,61.945946,684.564209,388.811432,57.271431,720.012146,404.461243,49.014442,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2984,'2019/07/08 17:20:48:854',9,451.458984,382.011536,43.71814,523.725769,372.524231,60.158978,608.799133,377.507416,61.861309,683.778809,388.040222,57.243839,718.459595,404.122681,49.04631,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2985,'2019/07/08 17:20:48:936',9,451.54245,381.868835,43.701633,523.588074,372.408569,60.124981,608.519897,377.276306,61.831982,683.612915,387.827698,57.209156,717.896362,403.991211,49.028248,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2986,'2019/07/08 17:20:49:014',9,451.930298,381.658142,43.693829,523.36377,372.207367,60.076298,607.924194,377.117889,61.786636,683.371216,387.488403,57.181553,718.405273,402.976044,49.014107,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2987,'2019/07/08 17:20:49:077',9,451.759949,381.403198,43.687141,523.180664,372.212311,60.062889,607.961426,376.88974,61.775593,683.707703,386.959534,57.169476,718.31665,402.858124,49.007565,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2988,'2019/07/08 17:20:49:163',9,451.618774,381.480438,43.663391,522.810608,372.161224,60.038654,607.772949,376.774109,61.765331,683.692871,386.857422,57.153984,718.950134,402.561218,48.947323,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2989,'2019/07/08 17:20:49:250',9,450.873322,382.084259,43.612171,521.876526,373.094879,60.025066,607.245178,377.701599,61.751953,683.790649,387.303528,57.105583,719.474976,402.64389,48.853523,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2990,'2019/07/08 17:20:49:347',9,449.909668,383.459381,43.46957,520.7771,374.960632,59.936214,606.186951,379.568207,61.681587,683.095032,388.813629,57.033337,718.923096,404.067108,48.761261,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2991,'2019/07/08 17:20:49:413',9,449.189697,384.09845,43.410072,520.430054,375.777374,59.888084,605.690063,380.417786,61.620224,682.465088,389.756348,56.963306,718.323364,404.792694,48.683907,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2992,'2019/07/08 17:20:49:495',9,448.50174,384.462646,43.345444,519.812683,376.163177,59.843609,604.933472,380.853912,61.588924,681.63501,390.401733,56.944164,718.145264,405.06366,48.645653,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2993,'2019/07/08 17:20:49:592',9,447.977631,384.677124,43.28067,519.348267,376.36499,59.802315,604.595154,381.139801,61.538315,680.989746,390.915039,56.899529,717.316162,405.399536,48.620079,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2994,'2019/07/08 17:20:49:710',9,448.231049,384.474579,43.295528,519.948364,376.310852,59.795197,605.278809,380.864319,61.50621,681.561768,390.672546,56.857803,717.233887,405.468597,48.603443,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2995,'2019/07/08 17:20:49:784',9,448.535858,384.463562,43.294975,520.488037,376.290009,59.787666,605.749878,380.791412,61.490334,681.855286,390.719543,56.837425,717.86084,405.370544,48.551052,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2996,'2019/07/08 17:20:49:857',9,448.902435,384.465424,43.302189,520.84021,376.243622,59.783394,606.204895,380.83493,61.482983,682.279541,390.759003,56.827076,718.909058,405.061829,48.506176,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2997,'2019/07/08 17:20:49:930',9,449.143799,384.50061,43.328007,521.105469,376.097717,59.80365,606.6922,380.708923,61.495014,682.717041,390.612549,56.828079,720.395264,404.504578,48.455441,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2998,'2019/07/08 17:20:49:990',9,449.13205,384.598724,43.377071,521.362183,376.19455,59.853302,607.091187,381.011353,61.521572,683.094238,390.878723,56.833233,720.844299,404.78949,48.429684,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2999,'2019/07/08 17:20:50:040',9,449.143524,384.676544,43.376049,521.350769,376.273926,59.863632,607.159424,381.132996,61.534821,683.122131,391.134949,56.839378,720.947815,404.922302,48.427673,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3000,'2019/07/08 17:20:50:113',9,449.150391,384.922791,43.369762,521.163086,376.436218,59.875797,607.192139,381.469604,61.54781,683.280884,391.343323,56.844898,720.592102,405.489471,48.430435,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3001,'2019/07/08 17:20:50:192',9,449.269379,385.349487,43.31192,520.671509,376.972412,59.827885,606.589966,381.999664,61.530315,682.588928,392.049683,56.854004,719.628906,406.345551,48.45792,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3002,'2019/07/08 17:20:50:278',9,448.780426,385.448944,43.3396,520.225586,377.278046,59.838833,606.109985,382.306244,61.538017,681.932922,392.599579,56.86721,719.524048,406.381714,48.48085,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3003,'2019/07/08 17:20:50:368',9,448.528595,385.456573,43.342869,520.180542,377.399597,59.837875,606.081543,382.398499,61.52919,681.721802,392.800751,56.856606,719.018799,406.742798,48.482086,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
